POST,Status Code,Response Size,city_id,change_latitude,current_latitude,type,newSearch,listType,response_time,datetime
/test/v1/citySelect,200,12820,466,19.1181031,19.1181031,,,,5.800 ms,12/Jul/2021:08:52:52 +0000
/test/v1/citySelect,200,13131,466,19.1181031,19.1181031,City,1.0,search,5.402 ms,12/Jul/2021:08:52:52 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.270 ms,12/Jul/2021:08:56:00 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.283 ms,12/Jul/2021:09:04:16 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.402 ms,12/Jul/2021:10:18:51 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.233 ms,12/Jul/2021:10:18:59 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,8.607 ms,12/Jul/2021:10:19:00 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,6.076 ms,12/Jul/2021:10:19:21 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,7.002 ms,12/Jul/2021:10:21:23 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.806 ms,12/Jul/2021:10:22:17 +0000
/test/v1/citySelect,200,13131,,25.2048493,25.2048493,,,,4.919 ms,12/Jul/2021:10:22:18 +0000
/test/v1/citySelect,200,1700,,25.2048493,25.2048493,,,,262.842 ms,12/Jul/2021:10:22:21 +0000
/test/v1/citySelect,200,383,,25.2048493,25.2048493,,,,221.472 ms,12/Jul/2021:10:22:22 +0000
/test/v1/citySelect,200,12820,466,19.0759837,19.0759837,,,,5.478 ms,12/Jul/2021:10:22:23 +0000
/test/v1/citySelect,200,13131,466,19.0759837,19.0759837,City,0.0,search,5.392 ms,12/Jul/2021:10:22:23 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.875 ms,12/Jul/2021:10:22:30 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,9.282 ms,12/Jul/2021:10:22:30 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,8.502 ms,12/Jul/2021:10:26:53 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,10.343 ms,12/Jul/2021:10:27:13 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,13.442 ms,12/Jul/2021:10:28:01 +0000
/test/v1/citySelect,200,1076,,25.2048493,25.2048493,,,,160.070 ms,12/Jul/2021:10:28:05 +0000
/test/v1/citySelect,200,12820,466,19.0759837,19.0759837,,,,5.574 ms,12/Jul/2021:10:28:06 +0000
/test/v1/citySelect,200,13131,466,19.0759837,19.0759837,City,0.0,search,8.257 ms,12/Jul/2021:10:28:07 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.943 ms,12/Jul/2021:10:28:10 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,12.884 ms,12/Jul/2021:10:28:14 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,8.909 ms,12/Jul/2021:10:30:18 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,9.352 ms,12/Jul/2021:10:31:09 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,8.257 ms,12/Jul/2021:10:31:26 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.248 ms,12/Jul/2021:10:35:02 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.664 ms,12/Jul/2021:10:39:25 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.536 ms,12/Jul/2021:10:39:25 +0000
/test/v1/privacy,200,14322,,,,,,,2.334 ms,12/Jul/2021:10:40:42 +0000
/test/v1/check_user_exists,200,115,,,,EMAIL,,,2.628 ms,12/Jul/2021:10:40:56 +0000
/test/v1/user_create,200,811,,,,EMAIL,,,5.855 ms,12/Jul/2021:10:41:03 +0000
/test/v1/citySelect,200,2802,,0.0,0.0,,,,653.865 ms,12/Jul/2021:10:41:10 +0000
/test/v1/citySelect,200,2782,,0.0,0.0,,,,223.307 ms,12/Jul/2021:10:41:10 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.277 ms,12/Jul/2021:10:41:12 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,7.293 ms,12/Jul/2021:10:41:15 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.252 ms,12/Jul/2021:10:41:15 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,20.388 ms,12/Jul/2021:10:44:17 +0000
/test/v1/check_user_exists,200,113,,,,EMAIL,,,7.372 ms,12/Jul/2021:10:45:10 +0000
/test/v1/user_create,200,802,,,,EMAIL,,,57.040 ms,12/Jul/2021:10:45:14 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,10.296 ms,12/Jul/2021:10:45:14 +0000
/test/v1/save_device_token,200,82,,,,,,,7.197 ms,12/Jul/2021:10:45:15 +0000
/test/v1/citySelect,200,12812,427,25.0858429,25.0858429,,,,13.652 ms,12/Jul/2021:10:45:20 +0000
/test/v1/citySelect,200,13131,427,25.0858429,25.0858429,City,0.0,search,7.934 ms,12/Jul/2021:10:45:20 +0000
/test/v1/privacy,200,14322,,,,,,,3.663 ms,12/Jul/2021:10:45:49 +0000
/test/v2/find_email_friends,200,254,,,,,,,90.393 ms,12/Jul/2021:10:45:54 +0000
/test/v1/search_user,200,10366,427,25.0858429,25.0858429,,,,58.277 ms,12/Jul/2021:10:45:54 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,9.546 ms,12/Jul/2021:10:48:58 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.520 ms,12/Jul/2021:10:50:56 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,8.374 ms,12/Jul/2021:10:54:17 +0000
